,relation
0,evaluation_of
1,produces
2,interacts_with
3,carries_out
4,indicates
5,affects
6,uses
7,process_of
8,developmental_form_of
9,issue_in
10,causes
11,precedes
12,connected_to
13,disrupts
14,assesses_effect_of
15,result_of
16,location_of
17,isa
18,part_of
19,associated_with
20,measurement_of
21,manifestation_of
22,treats
23,measures
24,complicates
25,performs
26,ingredient_of
27,exhibits
28,co-occurs_with
29,occurs_in
30,degree_of
31,analyzes
32,property_of
33,diagnoses
34,conceptual_part_of
35,prevents
36,contains
37,derivative_of
38,method_of
39,conceptually_related_to
40,consists_of
41,practices
42,surrounds
43,adjacent_to
44,manages
45,interconnects
