,entity
0,finding
1,organism_function
2,nucleic_acid_nucleoside_or_nucleotide
3,organization
4,disease_or_syndrome
5,laboratory_or_test_result
6,biomedical_or_dental_material
7,organ_or_tissue_function
8,patient_or_disabled_group
9,anatomical_abnormality
10,embryonic_structure
11,animal
12,mental_process
13,carbohydrate
14,cell_component
15,body_part_organ_or_organ_component
16,immunologic_factor
17,antibiotic
18,laboratory_procedure
19,human_caused_phenomenon_or_process
20,diagnostic_procedure
21,molecular_function
22,cell_or_molecular_dysfunction
23,eicosanoid
24,physiologic_function
25,chemical_viewed_structurally
26,organic_chemical
27,genetic_function
28,cell_function
29,research_activity
30,quantitative_concept
31,gene_or_genome
32,professional_or_occupational_group
33,element_ion_or_isotope
34,biologic_function
35,fungus
36,pathologic_function
37,congenital_abnormality
38,enzyme
39,neoplastic_process
40,drug_delivery_device
41,organism_attribute
42,clinical_attribute
43,pharmacologic_substance
44,amino_acid_peptide_or_protein
45,molecular_biology_research_technique
46,injury_or_poisoning
47,receptor
48,natural_phenomenon_or_process
49,cell
50,chemical
51,mental_or_behavioral_dysfunction
52,tissue
53,phenomenon_or_process
54,lipid
55,indicator_reagent_or_diagnostic_aid
56,acquired_abnormality
57,fully_formed_anatomical_structure
58,hormone
59,reptile
60,self_help_or_relief_organization
61,health_care_related_organization
62,mammal
63,behavior
64,body_space_or_junction
65,family_group
66,food
67,inorganic_chemical
68,body_location_or_region
69,experimental_model_of_disease
70,machine_activity
71,geographic_area
72,substance
73,amphibian
74,amino_acid_sequence
75,steroid
76,alga
77,hazardous_or_poisonous_substance
78,age_group
79,therapeutic_or_preventive_procedure
80,neuroreactive_substance_or_biogenic_amine
81,vitamin
82,chemical_viewed_functionally
83,biologically_active_substance
84,occupational_activity
85,medical_device
86,sign_or_symptom
87,archaeon
88,bird
89,carbohydrate_sequence
90,population_group
91,nucleotide_sequence
92,educational_activity
93,group
94,governmental_or_regulatory_activity
95,qualitative_concept
96,entity
97,plant
98,health_care_activity
99,invertebrate
100,professional_society
101,individual_behavior
102,research_device
103,social_behavior
104,rickettsia_or_chlamydia
105,group_attribute
106,regulation_or_law
107,clinical_drug
108,body_substance
109,daily_or_recreational_activity
110,virus
111,organophosphorus_compound
112,biomedical_occupation_or_discipline
113,anatomical_structure
114,fish
115,vertebrate
116,human
117,environmental_effect_of_humans
118,classification
119,bacterium
120,physical_object
121,manufactured_object
122,molecular_sequence
123,idea_or_concept
124,intellectual_product
125,temporal_concept
126,language
127,spatial_concept
128,occupation_or_discipline
129,activity
130,organism
131,body_system
132,functional_concept
133,conceptual_entity
134,event
