,relation
0,measures
1,associated_with
2,interacts_with
3,analyzes
4,evaluation_of
5,affects
6,performs
7,derivative_of
8,result_of
9,isa
10,degree_of
11,location_of
12,prevents
13,process_of
14,causes
15,occurs_in
16,diagnoses
17,manifestation_of
18,produces
19,part_of
20,issue_in
21,complicates
22,connected_to
23,disrupts
24,uses
25,precedes
26,assesses_effect_of
27,treats
28,property_of
29,co-occurs_with
30,manages
31,contains
32,measurement_of
33,exhibits
34,method_of
35,carries_out
36,adjacent_to
37,indicates
38,ingredient_of
39,conceptual_part_of
40,surrounds
41,interconnects
42,consists_of
43,developmental_form_of
44,conceptually_related_to
45,practices
