,entity
0,occupational_activity
1,sign_or_symptom
2,neuroreactive_substance_or_biogenic_amine
3,chemical_viewed_functionally
4,daily_or_recreational_activity
5,conceptual_entity
6,group_attribute
7,finding
8,human
9,tissue
10,chemical_viewed_structurally
11,phenomenon_or_process
12,quantitative_concept
13,vertebrate
14,professional_society
15,population_group
16,behavior
17,archaeon
18,antibiotic
19,biologically_active_substance
20,body_space_or_junction
21,neoplastic_process
22,pharmacologic_substance
23,cell_or_molecular_dysfunction
24,family_group
25,animal
26,body_system
27,regulation_or_law
28,embryonic_structure
29,organism_function
30,amino_acid_peptide_or_protein
31,receptor
32,organism_attribute
33,vitamin
34,hazardous_or_poisonous_substance
35,diagnostic_procedure
36,laboratory_procedure
37,idea_or_concept
38,functional_concept
39,fungus
40,mental_process
41,anatomical_abnormality
42,laboratory_or_test_result
43,hormone
44,patient_or_disabled_group
45,mental_or_behavioral_dysfunction
46,eicosanoid
47,geographic_area
48,machine_activity
49,body_part_organ_or_organ_component
50,genetic_function
51,reptile
52,natural_phenomenon_or_process
53,food
54,physical_object
55,cell
56,congenital_abnormality
57,molecular_function
58,nucleotide_sequence
59,pathologic_function
60,body_substance
61,research_device
62,inorganic_chemical
63,alga
64,physiologic_function
65,acquired_abnormality
66,individual_behavior
67,intellectual_product
68,biomedical_or_dental_material
69,organic_chemical
70,carbohydrate
71,chemical
72,bacterium
73,amphibian
74,immunologic_factor
75,element_ion_or_isotope
76,anatomical_structure
77,organ_or_tissue_function
78,lipid
79,plant
80,organism
81,disease_or_syndrome
82,enzyme
83,clinical_drug
84,nucleic_acid_nucleoside_or_nucleotide
85,professional_or_occupational_group
86,cell_component
87,steroid
88,research_activity
89,age_group
90,carbohydrate_sequence
91,governmental_or_regulatory_activity
92,fully_formed_anatomical_structure
93,substance
94,rickettsia_or_chlamydia
95,health_care_related_organization
96,manufactured_object
97,human_caused_phenomenon_or_process
98,indicator_reagent_or_diagnostic_aid
99,molecular_biology_research_technique
100,amino_acid_sequence
101,experimental_model_of_disease
102,virus
103,temporal_concept
104,educational_activity
105,occupation_or_discipline
106,environmental_effect_of_humans
107,drug_delivery_device
108,bird
109,gene_or_genome
110,organophosphorus_compound
111,language
112,activity
113,biologic_function
114,health_care_activity
115,qualitative_concept
116,self_help_or_relief_organization
117,clinical_attribute
118,event
119,entity
120,spatial_concept
121,mammal
122,social_behavior
123,therapeutic_or_preventive_procedure
124,group
125,cell_function
126,invertebrate
127,biomedical_occupation_or_discipline
128,fish
129,organization
130,body_location_or_region
131,classification
132,medical_device
133,injury_or_poisoning
134,molecular_sequence
