,relation
0,associated_with
1,assesses_effect_of
2,disrupts
3,interacts_with
4,issue_in
5,evaluation_of
6,isa
7,co-occurs_with
8,diagnoses
9,part_of
10,affects
11,measurement_of
12,result_of
13,analyzes
14,interconnects
15,complicates
16,conceptual_part_of
17,process_of
18,exhibits
19,manifestation_of
20,practices
21,surrounds
22,produces
23,adjacent_to
24,measures
25,method_of
26,ingredient_of
27,performs
28,property_of
29,developmental_form_of
30,connected_to
31,uses
32,manages
33,derivative_of
34,causes
35,precedes
36,location_of
37,indicates
38,degree_of
39,consists_of
40,prevents
41,occurs_in
42,contains
43,carries_out
44,conceptually_related_to
45,treats
