,relation
0,result_of
1,process_of
2,isa
3,carries_out
4,issue_in
5,surrounds
6,causes
7,affects
8,evaluation_of
9,location_of
10,associated_with
11,interacts_with
12,measures
13,occurs_in
14,performs
15,part_of
16,produces
17,conceptual_part_of
18,disrupts
19,precedes
20,complicates
21,uses
22,treats
23,assesses_effect_of
24,manifestation_of
25,consists_of
26,measurement_of
27,indicates
28,property_of
29,manages
30,exhibits
31,developmental_form_of
32,degree_of
33,co-occurs_with
34,prevents
35,analyzes
36,ingredient_of
37,diagnoses
38,method_of
39,interconnects
40,contains
41,adjacent_to
42,derivative_of
43,conceptually_related_to
44,practices
45,connected_to
