,relation
0,issue_in
1,affects
2,causes
3,location_of
4,associated_with
5,performs
6,complicates
7,interacts_with
8,process_of
9,property_of
10,part_of
11,degree_of
12,isa
13,result_of
14,measures
15,disrupts
16,manages
17,diagnoses
18,co-occurs_with
19,prevents
20,carries_out
21,produces
22,evaluation_of
23,manifestation_of
24,occurs_in
25,adjacent_to
26,precedes
27,indicates
28,assesses_effect_of
29,treats
30,uses
31,ingredient_of
32,conceptual_part_of
33,contains
34,measurement_of
35,connected_to
36,consists_of
37,practices
38,method_of
39,surrounds
40,interconnects
41,analyzes
42,exhibits
43,conceptually_related_to
44,developmental_form_of
45,derivative_of
