,relation
0,complicates
1,ingredient_of
2,process_of
3,evaluation_of
4,affects
5,manifestation_of
6,part_of
7,result_of
8,interacts_with
9,isa
10,produces
11,uses
12,issue_in
13,measures
14,causes
15,location_of
16,co-occurs_with
17,measurement_of
18,precedes
19,carries_out
20,disrupts
21,associated_with
22,prevents
23,assesses_effect_of
24,performs
25,conceptual_part_of
26,surrounds
27,diagnoses
28,analyzes
29,property_of
30,exhibits
31,method_of
32,treats
33,occurs_in
34,interconnects
35,manages
36,indicates
37,consists_of
38,degree_of
39,adjacent_to
40,developmental_form_of
41,derivative_of
42,contains
43,connected_to
44,practices
45,conceptually_related_to
