,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,issue_in
7,location_of
8,surrounds
9,part_of
10,causes
11,degree_of
12,affects
13,interacts_with
14,result_of
15,contains
16,co-occurs_with
17,measurement_of
18,measures
19,indicates
20,diagnoses
21,conceptual_part_of
22,complicates
23,evaluation_of
24,occurs_in
25,method_of
26,associated_with
27,conceptually_related_to
28,precedes
29,ingredient_of
30,manifestation_of
31,carries_out
32,analyzes
33,assesses_effect_of
34,exhibits
35,uses
36,prevents
37,manages
38,developmental_form_of
39,practices
40,connected_to
41,interconnects
42,treats
43,consists_of
44,adjacent_to
45,derivative_of
