,relation
0,produces
1,issue_in
2,affects
3,associated_with
4,co-occurs_with
5,interacts_with
6,part_of
7,process_of
8,isa
9,result_of
10,property_of
11,disrupts
12,causes
13,assesses_effect_of
14,uses
15,location_of
16,developmental_form_of
17,indicates
18,complicates
19,measures
20,performs
21,manifestation_of
22,manages
23,ingredient_of
24,exhibits
25,contains
26,method_of
27,occurs_in
28,prevents
29,degree_of
30,analyzes
31,evaluation_of
32,diagnoses
33,carries_out
34,measurement_of
35,surrounds
36,precedes
37,treats
38,adjacent_to
39,conceptual_part_of
40,conceptually_related_to
41,practices
42,consists_of
43,connected_to
44,interconnects
45,derivative_of
