,relation
0,location_of
1,produces
2,isa
3,affects
4,occurs_in
5,issue_in
6,precedes
7,measures
8,complicates
9,measurement_of
10,contains
11,associated_with
12,manages
13,causes
14,result_of
15,analyzes
16,evaluation_of
17,derivative_of
18,method_of
19,interacts_with
20,performs
21,process_of
22,conceptually_related_to
23,carries_out
24,consists_of
25,ingredient_of
26,assesses_effect_of
27,degree_of
28,interconnects
29,diagnoses
30,treats
31,part_of
32,developmental_form_of
33,manifestation_of
34,surrounds
35,uses
36,conceptual_part_of
37,exhibits
38,adjacent_to
39,co-occurs_with
40,practices
41,property_of
42,prevents
43,connected_to
44,disrupts
45,indicates
