,relation
0,causes
1,location_of
2,measures
3,affects
4,manifestation_of
5,co-occurs_with
6,isa
7,disrupts
8,produces
9,issue_in
10,associated_with
11,interacts_with
12,diagnoses
13,part_of
14,process_of
15,result_of
16,property_of
17,assesses_effect_of
18,uses
19,occurs_in
20,practices
21,complicates
22,precedes
23,manages
24,ingredient_of
25,exhibits
26,measurement_of
27,prevents
28,conceptually_related_to
29,analyzes
30,evaluation_of
31,performs
32,carries_out
33,treats
34,contains
35,method_of
36,connected_to
37,degree_of
38,derivative_of
39,developmental_form_of
40,conceptual_part_of
41,interconnects
42,adjacent_to
43,indicates
44,consists_of
45,surrounds
