,relation
0,adjacent_to
1,affects
2,analyzes
3,assesses_effect_of
4,associated_with
5,carries_out
6,causes
7,co-occurs_with
8,complicates
9,conceptual_part_of
10,conceptually_related_to
11,connected_to
12,consists_of
13,contains
14,degree_of
15,developmental_form_of
16,diagnoses
17,disrupts
18,evaluation_of
19,exhibits
20,indicates
21,ingredient_of
22,interacts_with
23,interconnects
24,isa
25,issue_in
26,location_of
27,manages
28,manifestation_of
29,measurement_of
30,measures
31,method_of
32,occurs_in
33,part_of
34,performs
35,practices
36,precedes
37,prevents
38,process_of
39,produces
40,property_of
41,result_of
42,surrounds
43,treats
44,uses
