,relation
0,measures
1,affects
2,manifestation_of
3,complicates
4,part_of
5,result_of
6,process_of
7,interacts_with
8,isa
9,produces
10,uses
11,issue_in
12,causes
13,location_of
14,evaluation_of
15,co-occurs_with
16,measurement_of
17,precedes
18,carries_out
19,disrupts
20,associated_with
21,prevents
22,assesses_effect_of
23,connected_to
24,performs
25,developmental_form_of
26,conceptual_part_of
27,property_of
28,ingredient_of
29,diagnoses
30,analyzes
31,exhibits
32,method_of
33,treats
34,occurs_in
35,derivative_of
36,interconnects
37,manages
38,indicates
39,practices
40,consists_of
41,surrounds
42,degree_of
43,adjacent_to
44,contains
45,conceptually_related_to
