,relation
0,isa
1,result_of
2,issue_in
3,causes
4,precedes
5,complicates
6,part_of
7,affects
8,disrupts
9,produces
10,measures
11,location_of
12,process_of
13,interacts_with
14,measurement_of
15,degree_of
16,treats
17,performs
18,occurs_in
19,method_of
20,ingredient_of
21,associated_with
22,carries_out
23,assesses_effect_of
24,manifestation_of
25,co-occurs_with
26,prevents
27,diagnoses
28,indicates
29,derivative_of
30,property_of
31,uses
32,evaluation_of
33,analyzes
34,practices
35,exhibits
36,consists_of
37,surrounds
38,contains
39,manages
40,connected_to
41,conceptual_part_of
42,interconnects
43,conceptually_related_to
44,adjacent_to
45,developmental_form_of
