,relation
0,interacts_with
1,contains
2,isa
3,occurs_in
4,surrounds
5,part_of
6,co-occurs_with
7,process_of
8,disrupts
9,performs
10,evaluation_of
11,developmental_form_of
12,affects
13,conceptually_related_to
14,conceptual_part_of
15,causes
16,manifestation_of
17,carries_out
18,associated_with
19,measurement_of
20,measures
21,exhibits
22,result_of
23,indicates
24,adjacent_to
25,complicates
26,diagnoses
27,ingredient_of
28,produces
29,issue_in
30,consists_of
31,prevents
32,location_of
33,assesses_effect_of
34,connected_to
35,interconnects
36,method_of
37,degree_of
38,analyzes
39,manages
40,precedes
41,uses
42,treats
43,practices
44,property_of
45,derivative_of
