,relation
0,affects
1,manifestation_of
2,causes
3,measures
4,co-occurs_with
5,isa
6,disrupts
7,produces
8,issue_in
9,associated_with
10,interacts_with
11,treats
12,part_of
13,process_of
14,result_of
15,property_of
16,assesses_effect_of
17,uses
18,location_of
19,interconnects
20,complicates
21,conceptually_related_to
22,manages
23,ingredient_of
24,exhibits
25,derivative_of
26,method_of
27,surrounds
28,analyzes
29,evaluation_of
30,performs
31,diagnoses
32,carries_out
33,measurement_of
34,prevents
35,contains
36,precedes
37,developmental_form_of
38,occurs_in
39,degree_of
40,consists_of
41,practices
42,connected_to
43,adjacent_to
44,indicates
45,conceptual_part_of
