,relation
0,produces
1,evaluation_of
2,affects
3,interacts_with
4,measures
5,result_of
6,disrupts
7,occurs_in
8,complicates
9,associated_with
10,process_of
11,performs
12,uses
13,analyzes
14,diagnoses
15,manifestation_of
16,co-occurs_with
17,causes
18,isa
19,manages
20,contains
21,precedes
22,issue_in
23,part_of
24,location_of
25,property_of
26,exhibits
27,method_of
28,assesses_effect_of
29,measurement_of
30,degree_of
31,prevents
32,carries_out
33,adjacent_to
34,indicates
35,treats
36,ingredient_of
37,conceptual_part_of
38,connected_to
39,surrounds
40,interconnects
41,developmental_form_of
42,derivative_of
43,consists_of
44,conceptually_related_to
45,practices
