,relation
0,produces
1,uses
2,measurement_of
3,affects
4,process_of
5,issue_in
6,assesses_effect_of
7,interacts_with
8,result_of
9,derivative_of
10,carries_out
11,complicates
12,precedes
13,developmental_form_of
14,prevents
15,performs
16,co-occurs_with
17,associated_with
18,measures
19,manifestation_of
20,location_of
21,disrupts
22,indicates
23,part_of
24,isa
25,ingredient_of
26,causes
27,contains
28,interconnects
29,degree_of
30,occurs_in
31,evaluation_of
32,diagnoses
33,property_of
34,treats
35,method_of
36,connected_to
37,conceptual_part_of
38,manages
39,surrounds
40,consists_of
41,exhibits
42,adjacent_to
43,analyzes
44,conceptually_related_to
45,practices
