,relation
0,causes
1,treats
2,location_of
3,interacts_with
4,associated_with
5,part_of
6,complicates
7,affects
8,process_of
9,result_of
10,issue_in
11,contains
12,isa
13,manifestation_of
14,exhibits
15,prevents
16,precedes
17,analyzes
18,uses
19,disrupts
20,performs
21,indicates
22,produces
23,measures
24,evaluation_of
25,degree_of
26,occurs_in
27,assesses_effect_of
28,co-occurs_with
29,consists_of
30,ingredient_of
31,measurement_of
32,derivative_of
33,property_of
34,carries_out
35,diagnoses
36,practices
37,method_of
38,conceptual_part_of
39,adjacent_to
40,surrounds
41,interconnects
42,manages
43,conceptually_related_to
44,connected_to
45,developmental_form_of
