,relation
0,interacts_with
1,complicates
2,process_of
3,issue_in
4,indicates
5,affects
6,disrupts
7,result_of
8,part_of
9,precedes
10,uses
11,carries_out
12,associated_with
13,manifestation_of
14,measures
15,exhibits
16,derivative_of
17,isa
18,location_of
19,diagnoses
20,assesses_effect_of
21,measurement_of
22,causes
23,contains
24,evaluation_of
25,treats
26,produces
27,practices
28,method_of
29,analyzes
30,ingredient_of
31,prevents
32,performs
33,conceptual_part_of
34,occurs_in
35,degree_of
36,co-occurs_with
37,property_of
38,manages
39,conceptually_related_to
40,consists_of
41,adjacent_to
42,developmental_form_of
43,connected_to
44,surrounds
45,interconnects
