,relation
0,isa
1,interacts_with
2,assesses_effect_of
3,affects
4,issue_in
5,precedes
6,location_of
7,produces
8,process_of
9,associated_with
10,occurs_in
11,degree_of
12,part_of
13,manifestation_of
14,causes
15,complicates
16,treats
17,result_of
18,property_of
19,performs
20,evaluation_of
21,co-occurs_with
22,measures
23,disrupts
24,uses
25,analyzes
26,diagnoses
27,manages
28,contains
29,exhibits
30,method_of
31,measurement_of
32,prevents
33,carries_out
34,adjacent_to
35,indicates
36,ingredient_of
37,conceptual_part_of
38,connected_to
39,surrounds
40,interconnects
41,practices
42,consists_of
43,developmental_form_of
44,conceptually_related_to
45,derivative_of
