,relation
0,process_of
1,issue_in
2,measurement_of
3,measures
4,disrupts
5,affects
6,isa
7,location_of
8,connected_to
9,precedes
10,associated_with
11,treats
12,property_of
13,uses
14,result_of
15,interacts_with
16,produces
17,evaluation_of
18,causes
19,indicates
20,complicates
21,part_of
22,carries_out
23,contains
24,performs
25,method_of
26,surrounds
27,interconnects
28,analyzes
29,diagnoses
30,manifestation_of
31,exhibits
32,co-occurs_with
33,ingredient_of
34,occurs_in
35,prevents
36,assesses_effect_of
37,degree_of
38,conceptual_part_of
39,manages
40,consists_of
41,conceptually_related_to
42,developmental_form_of
43,derivative_of
44,practices
45,adjacent_to
