,entity
0,disease_or_syndrome
1,inorganic_chemical
2,molecular_function
3,group_attribute
4,laboratory_or_test_result
5,diagnostic_procedure
6,organism_function
7,congenital_abnormality
8,pathologic_function
9,genetic_function
10,research_device
11,tissue
12,mental_or_behavioral_dysfunction
13,experimental_model_of_disease
14,neoplastic_process
15,fungus
16,research_activity
17,carbohydrate
18,organ_or_tissue_function
19,anatomical_abnormality
20,clinical_attribute
21,pharmacologic_substance
22,quantitative_concept
23,reptile
24,hazardous_or_poisonous_substance
25,mental_process
26,family_group
27,anatomical_structure
28,natural_phenomenon_or_process
29,therapeutic_or_preventive_procedure
30,immunologic_factor
31,body_part_organ_or_organ_component
32,biomedical_or_dental_material
33,professional_society
34,steroid
35,element_ion_or_isotope
36,virus
37,cell_component
38,cell
39,cell_function
40,body_space_or_junction
41,cell_or_molecular_dysfunction
42,finding
43,acquired_abnormality
44,medical_device
45,receptor
46,clinical_drug
47,organophosphorus_compound
48,food
49,individual_behavior
50,mammal
51,vertebrate
52,behavior
53,enzyme
54,vitamin
55,biologic_function
56,nucleic_acid_nucleoside_or_nucleotide
57,population_group
58,manufactured_object
59,laboratory_procedure
60,neuroreactive_substance_or_biogenic_amine
61,drug_delivery_device
62,plant
63,patient_or_disabled_group
64,hormone
65,injury_or_poisoning
66,amphibian
67,lipid
68,gene_or_genome
69,self_help_or_relief_organization
70,amino_acid_peptide_or_protein
71,group
72,body_location_or_region
73,chemical_viewed_functionally
74,bird
75,sign_or_symptom
76,fully_formed_anatomical_structure
77,nucleotide_sequence
78,professional_or_occupational_group
79,health_care_activity
80,invertebrate
81,organism_attribute
82,bacterium
83,antibiotic
84,regulation_or_law
85,fish
86,organic_chemical
87,biologically_active_substance
88,geographic_area
89,human_caused_phenomenon_or_process
90,social_behavior
91,substance
92,occupational_activity
93,rickettsia_or_chlamydia
94,spatial_concept
95,embryonic_structure
96,educational_activity
97,chemical
98,body_substance
99,indicator_reagent_or_diagnostic_aid
100,physiologic_function
101,organization
102,classification
103,environmental_effect_of_humans
104,language
105,age_group
106,health_care_related_organization
107,phenomenon_or_process
108,idea_or_concept
109,molecular_sequence
110,molecular_biology_research_technique
111,archaeon
112,eicosanoid
113,qualitative_concept
114,temporal_concept
115,body_system
116,occupation_or_discipline
117,chemical_viewed_structurally
118,animal
119,conceptual_entity
120,machine_activity
121,governmental_or_regulatory_activity
122,activity
123,carbohydrate_sequence
124,alga
125,human
126,intellectual_product
127,physical_object
128,biomedical_occupation_or_discipline
129,entity
130,daily_or_recreational_activity
131,amino_acid_sequence
132,functional_concept
133,event
134,organism
