,relation
0,process_of
1,ingredient_of
2,conceptually_related_to
3,measurement_of
4,method_of
5,result_of
6,produces
7,manifestation_of
8,location_of
9,analyzes
10,interacts_with
11,affects
12,causes
13,measures
14,developmental_form_of
15,isa
16,property_of
17,complicates
18,part_of
19,surrounds
20,carries_out
21,treats
22,disrupts
23,associated_with
24,issue_in
25,uses
26,assesses_effect_of
27,performs
28,co-occurs_with
29,contains
30,connected_to
31,practices
32,indicates
33,precedes
34,occurs_in
35,adjacent_to
36,exhibits
37,prevents
38,diagnoses
39,derivative_of
40,conceptual_part_of
41,evaluation_of
42,degree_of
43,manages
44,interconnects
45,consists_of
