,relation
0,location_of
1,issue_in
2,property_of
3,carries_out
4,part_of
5,complicates
6,produces
7,affects
8,measures
9,evaluation_of
10,result_of
11,performs
12,process_of
13,isa
14,causes
15,disrupts
16,interacts_with
17,manifestation_of
18,occurs_in
19,associated_with
20,diagnoses
21,adjacent_to
22,measurement_of
23,precedes
24,indicates
25,prevents
26,treats
27,assesses_effect_of
28,degree_of
29,uses
30,ingredient_of
31,conceptual_part_of
32,contains
33,connected_to
34,method_of
35,surrounds
36,interconnects
37,analyzes
38,exhibits
39,co-occurs_with
40,practices
41,manages
42,derivative_of
43,consists_of
44,developmental_form_of
45,conceptually_related_to
