,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,uses
10,affects
11,interacts_with
12,result_of
13,contains
14,co-occurs_with
15,measurement_of
16,measures
17,indicates
18,issue_in
19,diagnoses
20,conceptual_part_of
21,complicates
22,evaluation_of
23,occurs_in
24,method_of
25,associated_with
26,degree_of
27,developmental_form_of
28,precedes
29,ingredient_of
30,manifestation_of
31,analyzes
32,carries_out
33,assesses_effect_of
34,surrounds
35,prevents
36,exhibits
37,practices
38,connected_to
39,treats
40,manages
41,adjacent_to
42,conceptually_related_to
43,consists_of
44,derivative_of
45,interconnects
