,relation
0,evaluation_of
1,causes
2,location_of
3,associated_with
4,affects
5,manifestation_of
6,property_of
7,measurement_of
8,complicates
9,part_of
10,result_of
11,issue_in
12,assesses_effect_of
13,interacts_with
14,isa
15,process_of
16,diagnoses
17,performs
18,disrupts
19,degree_of
20,measures
21,manages
22,ingredient_of
23,co-occurs_with
24,prevents
25,carries_out
26,produces
27,occurs_in
28,adjacent_to
29,precedes
30,indicates
31,treats
32,analyzes
33,uses
34,conceptual_part_of
35,contains
36,connected_to
37,method_of
38,surrounds
39,interconnects
40,exhibits
41,consists_of
42,derivative_of
43,developmental_form_of
44,conceptually_related_to
45,practices
