,relation
0,complicates
1,result_of
2,precedes
3,affects
4,property_of
5,location_of
6,produces
7,performs
8,disrupts
9,exhibits
10,method_of
11,interacts_with
12,isa
13,associated_with
14,part_of
15,co-occurs_with
16,process_of
17,occurs_in
18,evaluation_of
19,causes
20,manifestation_of
21,assesses_effect_of
22,measurement_of
23,issue_in
24,diagnoses
25,degree_of
26,measures
27,manages
28,prevents
29,carries_out
30,adjacent_to
31,indicates
32,treats
33,uses
34,ingredient_of
35,conceptual_part_of
36,contains
37,connected_to
38,surrounds
39,interconnects
40,analyzes
41,practices
42,consists_of
43,developmental_form_of
44,conceptually_related_to
45,derivative_of
