,relation
0,isa
1,affects
2,disrupts
3,produces
4,issue_in
5,associated_with
6,co-occurs_with
7,interacts_with
8,evaluation_of
9,part_of
10,process_of
11,result_of
12,property_of
13,causes
14,assesses_effect_of
15,uses
16,location_of
17,practices
18,surrounds
19,complicates
20,measures
21,consists_of
22,manifestation_of
23,manages
24,ingredient_of
25,exhibits
26,analyzes
27,indicates
28,precedes
29,performs
30,diagnoses
31,carries_out
32,measurement_of
33,occurs_in
34,prevents
35,conceptually_related_to
36,treats
37,contains
38,conceptual_part_of
39,adjacent_to
40,method_of
41,degree_of
42,connected_to
43,developmental_form_of
44,derivative_of
45,interconnects
