,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,part_of
8,causes
9,precedes
10,affects
11,interacts_with
12,result_of
13,contains
14,co-occurs_with
15,measurement_of
16,measures
17,indicates
18,issue_in
19,diagnoses
20,conceptual_part_of
21,complicates
22,evaluation_of
23,occurs_in
24,method_of
25,associated_with
26,degree_of
27,ingredient_of
28,manifestation_of
29,analyzes
30,carries_out
31,assesses_effect_of
32,connected_to
33,prevents
34,uses
35,surrounds
36,exhibits
37,practices
38,treats
39,derivative_of
40,developmental_form_of
41,manages
42,adjacent_to
43,consists_of
44,interconnects
45,conceptually_related_to
