,relation
0,derivative_of
1,degree_of
2,affects
3,interacts_with
4,causes
5,process_of
6,measures
7,diagnoses
8,isa
9,result_of
10,property_of
11,complicates
12,measurement_of
13,location_of
14,part_of
15,surrounds
16,assesses_effect_of
17,manifestation_of
18,treats
19,disrupts
20,associated_with
21,issue_in
22,prevents
23,uses
24,produces
25,performs
26,contains
27,precedes
28,connected_to
29,carries_out
30,evaluation_of
31,manages
32,analyzes
33,co-occurs_with
34,occurs_in
35,ingredient_of
36,exhibits
37,method_of
38,conceptually_related_to
39,conceptual_part_of
40,indicates
41,interconnects
42,consists_of
43,developmental_form_of
44,practices
45,adjacent_to
