,entity
0,organism_attribute
1,mental_or_behavioral_dysfunction
2,receptor
3,nucleic_acid_nucleoside_or_nucleotide
4,carbohydrate
5,professional_or_occupational_group
6,body_part_organ_or_organ_component
7,neoplastic_process
8,organism_function
9,professional_society
10,fungus
11,eicosanoid
12,cell_component
13,research_activity
14,experimental_model_of_disease
15,congenital_abnormality
16,physiologic_function
17,body_substance
18,gene_or_genome
19,alga
20,diagnostic_procedure
21,anatomical_abnormality
22,neuroreactive_substance_or_biogenic_amine
23,drug_delivery_device
24,vitamin
25,biologically_active_substance
26,molecular_biology_research_technique
27,pathologic_function
28,genetic_function
29,behavior
30,group
31,family_group
32,occupational_activity
33,organ_or_tissue_function
34,laboratory_procedure
35,laboratory_or_test_result
36,phenomenon_or_process
37,element_ion_or_isotope
38,fully_formed_anatomical_structure
39,chemical_viewed_functionally
40,patient_or_disabled_group
41,injury_or_poisoning
42,enzyme
43,cell_function
44,cell
45,carbohydrate_sequence
46,therapeutic_or_preventive_procedure
47,embryonic_structure
48,mental_process
49,antibiotic
50,bacterium
51,cell_or_molecular_dysfunction
52,organophosphorus_compound
53,population_group
54,chemical_viewed_structurally
55,disease_or_syndrome
56,group_attribute
57,hormone
58,food
59,natural_phenomenon_or_process
60,acquired_abnormality
61,chemical
62,daily_or_recreational_activity
63,health_care_activity
64,molecular_function
65,immunologic_factor
66,anatomical_structure
67,age_group
68,social_behavior
69,environmental_effect_of_humans
70,sign_or_symptom
71,human_caused_phenomenon_or_process
72,pharmacologic_substance
73,biologic_function
74,governmental_or_regulatory_activity
75,vertebrate
76,lipid
77,fish
78,bird
79,steroid
80,nucleotide_sequence
81,qualitative_concept
82,manufactured_object
83,substance
84,invertebrate
85,individual_behavior
86,tissue
87,virus
88,organization
89,biomedical_or_dental_material
90,animal
91,medical_device
92,clinical_attribute
93,occupation_or_discipline
94,inorganic_chemical
95,organic_chemical
96,hazardous_or_poisonous_substance
97,regulation_or_law
98,indicator_reagent_or_diagnostic_aid
99,reptile
100,self_help_or_relief_organization
101,entity
102,amino_acid_peptide_or_protein
103,finding
104,plant
105,geographic_area
106,temporal_concept
107,body_space_or_junction
108,rickettsia_or_chlamydia
109,body_location_or_region
110,educational_activity
111,machine_activity
112,amino_acid_sequence
113,classification
114,clinical_drug
115,functional_concept
116,body_system
117,health_care_related_organization
118,research_device
119,language
120,amphibian
121,quantitative_concept
122,molecular_sequence
123,mammal
124,biomedical_occupation_or_discipline
125,idea_or_concept
126,spatial_concept
127,organism
128,human
129,conceptual_entity
130,archaeon
131,activity
132,intellectual_product
133,physical_object
134,event
