,relation
0,property_of
1,manifestation_of
2,causes
3,issue_in
4,interacts_with
5,performs
6,adjacent_to
7,affects
8,co-occurs_with
9,carries_out
10,ingredient_of
11,isa
12,measures
13,produces
14,part_of
15,location_of
16,method_of
17,complicates
18,result_of
19,process_of
20,associated_with
21,uses
22,measurement_of
23,disrupts
24,degree_of
25,precedes
26,treats
27,consists_of
28,indicates
29,prevents
30,assesses_effect_of
31,occurs_in
32,evaluation_of
33,exhibits
34,diagnoses
35,surrounds
36,analyzes
37,derivative_of
38,interconnects
39,connected_to
40,conceptual_part_of
41,manages
42,contains
43,developmental_form_of
44,conceptually_related_to
45,practices
