,relation
0,causes
1,treats
2,location_of
3,interacts_with
4,associated_with
5,part_of
6,complicates
7,affects
8,process_of
9,result_of
10,issue_in
11,contains
12,isa
13,manifestation_of
14,exhibits
15,degree_of
16,precedes
17,analyzes
18,uses
19,disrupts
20,performs
21,indicates
22,produces
23,measures
24,evaluation_of
25,carries_out
26,occurs_in
27,co-occurs_with
28,developmental_form_of
29,conceptual_part_of
30,consists_of
31,ingredient_of
32,measurement_of
33,derivative_of
34,property_of
35,assesses_effect_of
36,diagnoses
37,surrounds
38,method_of
39,prevents
40,connected_to
41,adjacent_to
42,practices
43,conceptually_related_to
44,interconnects
45,manages
