,relation
0,result_of
1,method_of
2,issue_in
3,causes
4,affects
5,complicates
6,process_of
7,isa
8,indicates
9,location_of
10,evaluation_of
11,performs
12,prevents
13,developmental_form_of
14,part_of
15,carries_out
16,occurs_in
17,produces
18,associated_with
19,exhibits
20,interacts_with
21,manifestation_of
22,contains
23,ingredient_of
24,precedes
25,uses
26,property_of
27,assesses_effect_of
28,interconnects
29,connected_to
30,measures
31,treats
32,analyzes
33,degree_of
34,co-occurs_with
35,conceptually_related_to
36,disrupts
37,manages
38,derivative_of
39,surrounds
40,diagnoses
41,adjacent_to
42,measurement_of
43,consists_of
44,conceptual_part_of
45,practices
