,relation
0,affects
1,treats
2,conceptually_related_to
3,causes
4,result_of
5,produces
6,manifestation_of
7,isa
8,interacts_with
9,issue_in
10,location_of
11,process_of
12,complicates
13,prevents
14,manages
15,evaluation_of
16,associated_with
17,measures
18,disrupts
19,performs
20,part_of
21,occurs_in
22,precedes
23,uses
24,diagnoses
25,consists_of
26,surrounds
27,ingredient_of
28,adjacent_to
29,exhibits
30,degree_of
31,derivative_of
32,indicates
33,connected_to
34,co-occurs_with
35,assesses_effect_of
36,analyzes
37,carries_out
38,contains
39,method_of
40,measurement_of
41,conceptual_part_of
42,property_of
43,developmental_form_of
44,practices
45,interconnects
