,relation
0,interacts_with
1,associated_with
2,result_of
3,process_of
4,isa
5,affects
6,evaluation_of
7,method_of
8,prevents
9,produces
10,occurs_in
11,part_of
12,analyzes
13,issue_in
14,manifestation_of
15,property_of
16,causes
17,disrupts
18,measurement_of
19,complicates
20,location_of
21,assesses_effect_of
22,diagnoses
23,precedes
24,co-occurs_with
25,exhibits
26,ingredient_of
27,degree_of
28,carries_out
29,performs
30,treats
31,uses
32,measures
33,indicates
34,surrounds
35,interconnects
36,conceptual_part_of
37,consists_of
38,adjacent_to
39,manages
40,developmental_form_of
41,derivative_of
42,practices
43,contains
44,connected_to
45,conceptually_related_to
