,relation
0,causes
1,connected_to
2,prevents
3,produces
4,interacts_with
5,precedes
6,issue_in
7,location_of
8,affects
9,isa
10,manifestation_of
11,associated_with
12,indicates
13,result_of
14,evaluation_of
15,complicates
16,surrounds
17,measurement_of
18,ingredient_of
19,process_of
20,property_of
21,measures
22,conceptual_part_of
23,treats
24,part_of
25,performs
26,occurs_in
27,uses
28,disrupts
29,assesses_effect_of
30,co-occurs_with
31,diagnoses
32,exhibits
33,developmental_form_of
34,degree_of
35,contains
36,analyzes
37,carries_out
38,practices
39,method_of
40,manages
41,consists_of
42,adjacent_to
43,derivative_of
44,interconnects
45,conceptually_related_to
