,relation
0,result_of
1,affects
2,location_of
3,manifestation_of
4,causes
5,complicates
6,disrupts
7,interacts_with
8,isa
9,analyzes
10,process_of
11,contains
12,part_of
13,issue_in
14,produces
15,precedes
16,associated_with
17,indicates
18,occurs_in
19,measures
20,performs
21,measurement_of
22,uses
23,method_of
24,assesses_effect_of
25,degree_of
26,exhibits
27,co-occurs_with
28,prevents
29,carries_out
30,property_of
31,diagnoses
32,evaluation_of
33,ingredient_of
34,manages
35,treats
36,consists_of
37,conceptual_part_of
38,connected_to
39,derivative_of
40,adjacent_to
41,conceptually_related_to
42,surrounds
43,developmental_form_of
44,practices
45,interconnects
