,relation
0,measures
1,associated_with
2,interacts_with
3,analyzes
4,evaluation_of
5,affects
6,performs
7,treats
8,result_of
9,isa
10,degree_of
11,location_of
12,prevents
13,process_of
14,precedes
15,occurs_in
16,diagnoses
17,causes
18,manifestation_of
19,produces
20,measurement_of
21,part_of
22,issue_in
23,complicates
24,connected_to
25,disrupts
26,uses
27,assesses_effect_of
28,property_of
29,co-occurs_with
30,manages
31,contains
32,exhibits
33,method_of
34,derivative_of
35,carries_out
36,adjacent_to
37,indicates
38,consists_of
39,ingredient_of
40,conceptual_part_of
41,surrounds
42,interconnects
43,practices
44,developmental_form_of
45,conceptually_related_to
