,relation
0,produces
1,performs
2,affects
3,isa
4,precedes
5,complicates
6,disrupts
7,result_of
8,interacts_with
9,uses
10,issue_in
11,measures
12,location_of
13,process_of
14,causes
15,part_of
16,indicates
17,prevents
18,occurs_in
19,measurement_of
20,property_of
21,co-occurs_with
22,evaluation_of
23,exhibits
24,treats
25,conceptual_part_of
26,associated_with
27,analyzes
28,consists_of
29,assesses_effect_of
30,adjacent_to
31,manifestation_of
32,method_of
33,carries_out
34,degree_of
35,contains
36,ingredient_of
37,diagnoses
38,manages
39,derivative_of
40,practices
41,connected_to
42,developmental_form_of
43,conceptually_related_to
44,surrounds
45,interconnects
