,relation
0,complicates
1,result_of
2,precedes
3,affects
4,property_of
5,location_of
6,produces
7,performs
8,disrupts
9,exhibits
10,method_of
11,interacts_with
12,isa
13,associated_with
14,part_of
15,co-occurs_with
16,process_of
17,occurs_in
18,evaluation_of
19,causes
20,manifestation_of
21,indicates
22,measurement_of
23,issue_in
24,conceptual_part_of
25,assesses_effect_of
26,diagnoses
27,degree_of
28,measures
29,manages
30,prevents
31,carries_out
32,practices
33,adjacent_to
34,treats
35,uses
36,ingredient_of
37,contains
38,connected_to
39,surrounds
40,interconnects
41,analyzes
42,derivative_of
43,consists_of
44,developmental_form_of
45,conceptually_related_to
