,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,location_of
7,developmental_form_of
8,part_of
9,causes
10,interacts_with
11,affects
12,result_of
13,contains
14,co-occurs_with
15,measurement_of
16,measures
17,indicates
18,issue_in
19,diagnoses
20,conceptual_part_of
21,complicates
22,evaluation_of
23,occurs_in
24,method_of
25,associated_with
26,degree_of
27,treats
28,precedes
29,ingredient_of
30,manifestation_of
31,analyzes
32,carries_out
33,assesses_effect_of
34,manages
35,uses
36,surrounds
37,exhibits
38,prevents
39,practices
40,interconnects
41,connected_to
42,conceptually_related_to
43,derivative_of
44,adjacent_to
45,consists_of
