,relation
0,measures
1,associated_with
2,interacts_with
3,analyzes
4,evaluation_of
5,affects
6,performs
7,treats
8,result_of
9,isa
10,degree_of
11,location_of
12,prevents
13,process_of
14,precedes
15,occurs_in
16,diagnoses
17,causes
18,manifestation_of
19,produces
20,part_of
21,issue_in
22,complicates
23,connected_to
24,disrupts
25,uses
26,assesses_effect_of
27,property_of
28,co-occurs_with
29,manages
30,contains
31,exhibits
32,method_of
33,measurement_of
34,carries_out
35,adjacent_to
36,indicates
37,ingredient_of
38,conceptual_part_of
39,surrounds
40,interconnects
41,derivative_of
42,practices
43,consists_of
44,developmental_form_of
45,conceptually_related_to
