,relation
0,location_of
1,issue_in
2,property_of
3,carries_out
4,part_of
5,complicates
6,produces
7,affects
8,measures
9,evaluation_of
10,result_of
11,performs
12,process_of
13,isa
14,causes
15,disrupts
16,interacts_with
17,manifestation_of
18,occurs_in
19,associated_with
20,diagnoses
21,adjacent_to
22,consists_of
23,precedes
24,indicates
25,exhibits
26,prevents
27,ingredient_of
28,assesses_effect_of
29,treats
30,degree_of
31,uses
32,conceptual_part_of
33,contains
34,measurement_of
35,connected_to
36,method_of
37,surrounds
38,interconnects
39,analyzes
40,co-occurs_with
41,developmental_form_of
42,manages
43,derivative_of
44,conceptually_related_to
45,practices
