,relation
0,result_of
1,produces
2,precedes
3,location_of
4,part_of
5,degree_of
6,method_of
7,issue_in
8,interacts_with
9,process_of
10,associated_with
11,causes
12,uses
13,measures
14,ingredient_of
15,performs
16,conceptual_part_of
17,affects
18,manifestation_of
19,contains
20,occurs_in
21,measurement_of
22,disrupts
23,isa
24,connected_to
25,treats
26,property_of
27,evaluation_of
28,complicates
29,carries_out
30,consists_of
31,surrounds
32,interconnects
33,analyzes
34,diagnoses
35,exhibits
36,co-occurs_with
37,manages
38,prevents
39,assesses_effect_of
40,indicates
41,developmental_form_of
42,adjacent_to
43,conceptually_related_to
44,practices
45,derivative_of
