,relation
0,property_of
1,disrupts
2,process_of
3,isa
4,produces
5,performs
6,precedes
7,location_of
8,manages
9,part_of
10,causes
11,affects
12,interacts_with
13,result_of
14,contains
15,co-occurs_with
16,measurement_of
17,measures
18,indicates
19,issue_in
20,diagnoses
21,conceptual_part_of
22,complicates
23,evaluation_of
24,occurs_in
25,method_of
26,associated_with
27,degree_of
28,ingredient_of
29,adjacent_to
30,manifestation_of
31,carries_out
32,derivative_of
33,analyzes
34,prevents
35,assesses_effect_of
36,interconnects
37,developmental_form_of
38,consists_of
39,exhibits
40,practices
41,uses
42,surrounds
43,connected_to
44,conceptually_related_to
45,treats
