,relation
0,interacts_with
1,treats
2,associated_with
3,causes
4,location_of
5,part_of
6,complicates
7,affects
8,process_of
9,result_of
10,issue_in
11,contains
12,isa
13,manifestation_of
14,exhibits
15,precedes
16,analyzes
17,disrupts
18,performs
19,indicates
20,produces
21,measures
22,evaluation_of
23,degree_of
24,occurs_in
25,measurement_of
26,co-occurs_with
27,assesses_effect_of
28,consists_of
29,carries_out
30,prevents
31,ingredient_of
32,uses
33,conceptual_part_of
34,derivative_of
35,property_of
36,diagnoses
37,method_of
38,adjacent_to
39,interconnects
40,practices
41,surrounds
42,developmental_form_of
43,manages
44,conceptually_related_to
45,connected_to
