,relation
0,interacts_with
1,carries_out
2,result_of
3,isa
4,interconnects
5,precedes
6,treats
7,part_of
8,measurement_of
9,connected_to
10,produces
11,affects
12,derivative_of
13,uses
14,manifestation_of
15,indicates
16,location_of
17,method_of
18,adjacent_to
19,process_of
20,degree_of
21,causes
22,disrupts
23,consists_of
24,practices
25,ingredient_of
26,prevents
27,analyzes
28,exhibits
29,surrounds
30,co-occurs_with
31,conceptually_related_to
32,assesses_effect_of
33,evaluation_of
34,occurs_in
35,issue_in
36,measures
37,complicates
38,conceptual_part_of
39,diagnoses
40,developmental_form_of
41,performs
42,associated_with
43,property_of
44,contains
45,manages
