relation,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
location_of,0.0714101269841194,-0.2305192798376083,-0.0439545512199402,0.0709779039025307,0.2671028673648834,-0.0873084887862206,0.3919384479522705,0.2897282838821411,0.0521192103624344,-0.0485912039875984,-0.1670379042625427,-0.1468300968408585,0.1336449533700943,0.1353300809860229,-0.1419723331928253,-0.0785818248987198,0.0483224689960480,0.0810940787196159,-0.1672179251909256,-0.2302556931972504,0.1346587836742401,0.1575029194355011,-0.0186863578855991,-0.1309464275836945,0.0468738637864590,0.1560998111963272,1.0909792184829712,-0.1776940077543259,0.0395695231854916,-0.1296124011278152,-0.2197527885437012,-0.0783176720142365
manifestation_of,-0.0777067318558693,0.8280137777328491,0.4559041857719421,0.1535236239433289,0.0433238148689270,0.0307166855782270,0.6300643086433411,-0.1735990792512894,-0.2052621394395828,0.0201249904930592,0.0815645009279251,-0.4323852062225342,-0.2923295795917511,0.6093473434448242,-0.1298280507326126,-0.1971917301416397,-0.1095589399337769,0.3166082501411438,0.4916636645793915,-0.1472830772399902,-0.1658687293529510,0.2436057031154633,0.1829966902732849,0.1729526072740555,-0.2227783352136612,0.2697121202945709,0.3251937329769135,0.2584996819496155,-0.2793266475200653,0.7382397055625916,0.1189460828900337,-0.2357588410377502
isa,-0.3999951779842377,0.1618415862321854,-0.4648059606552124,-0.1317260861396790,-0.2917407155036926,0.2983361780643463,-0.4338995218276978,0.2956860363483429,0.2671559453010559,0.3379494547843933,0.0375712402164936,0.0576972290873528,-0.3257682323455811,-0.6154696941375732,0.3937197923660278,0.6599510312080383,-0.3787271380424500,-0.4753202497959137,-0.6522803902626038,0.0020404048264027,-0.1607869118452072,0.2298655658960342,0.1467330157756805,0.1307442933320999,-0.3821530044078827,-0.4905817508697510,0.0185028966516256,-0.3066749572753906,0.4737414717674255,-0.2539741098880768,0.0458523109555244,-0.0595197305083275
affects,0.0369619801640511,0.2394883036613464,0.4182264208793640,0.1843176037073135,-0.1632263362407684,0.1394402384757996,0.3671291172504425,-0.2138103246688843,0.3235695958137512,0.1315448582172394,-0.0498547181487083,0.1454221159219742,-0.2108410000801086,0.5550447106361389,0.0087872780859470,-0.0625114366412163,0.0609897598624229,-0.1482481509447098,0.3142820894718170,-0.6117256879806519,0.1251110136508942,0.0940747484564781,0.3169174790382385,-0.0496796220541000,-0.0101982522755861,-0.0467795059084892,0.6286165714263916,-0.1134525164961815,-0.2451619505882263,0.2369826883077621,0.0240359399467707,0.0197017751634121
associated_with,0.5076387524604797,0.0980674177408218,0.1859132945537567,-0.1153125613927841,0.0114094521850348,0.1641029715538025,0.1888246983289719,0.4332976341247559,0.0324213393032551,0.1366718411445618,0.1802951544523239,-0.0657442361116409,-0.0409859716892242,-0.1005358994007111,-0.4743006229400635,-0.3382072150707245,-0.0315712466835976,0.1512737721204758,0.1786529868841171,-0.2020949721336365,-0.0618131123483181,0.1520587801933289,-0.0194532275199890,-0.0202866531908512,0.5320695042610168,0.3354456126689911,0.3423723280429840,0.0836494714021683,0.3719165027141571,-0.5211593508720398,-0.0548077411949635,-0.0640332698822021
interacts_with,-0.0869267061352730,-0.3119726181030273,0.0249019190669060,-0.1352584660053253,-0.1826332062482834,0.1801526099443436,-0.2218615859746933,-0.3342898488044739,-0.0985620915889740,0.4795540273189545,-0.0919443815946579,0.0360275842249393,-0.0611697956919670,-0.0726077482104301,0.1657217442989349,-0.1700721532106400,-0.0837300643324852,-0.2352198958396912,-0.1440489143133163,-0.0236668158322573,-0.1188972368836403,-0.0534063130617142,0.3236432373523712,-0.1150603592395782,0.3627938330173492,-0.0385743491351604,-0.2650787532329559,-0.3163844347000122,-0.1554580330848694,0.1226002201437950,-0.1928652673959732,0.1436742097139359
result_of,-0.1575543731451035,0.8825086355209351,-0.0264800377190113,0.5833810567855835,0.0545922070741653,-0.0789679959416389,0.5637917518615723,0.1833090335130692,0.0834630057215691,-0.1213113218545914,0.1273480206727982,-0.4593825936317444,-0.0792618021368980,0.1567735671997070,0.0857410058379173,0.2008458524942398,-0.1762028485536575,0.0835370421409607,0.5375827550888062,0.1421608775854111,-0.4837971627712250,0.3919284045696259,0.1280944347381592,0.5275688171386719,-0.4042334854602814,-0.0287876147776842,0.1090722531080246,0.3991774022579193,0.3532705605030060,0.0398543588817120,0.0119996583089232,-0.1220004037022591
complicates,0.2650029361248016,0.4138227403163910,-0.0089204069226980,0.2969177067279816,-0.0778252407908440,-0.0970795750617981,0.7321314811706543,0.4490068852901459,-0.0906370207667351,0.0877669155597687,0.1824417412281036,-0.2242020517587662,-0.2561441659927368,0.6964389681816101,-0.1404979228973389,-0.3449173271656036,0.0093937870115042,0.1432285606861115,0.4883236289024353,0.2059767842292786,-0.0136270849034190,0.2226610779762268,0.0502975657582283,-0.0178943946957588,0.0354408174753189,0.3874913454055786,0.1776526719331741,0.1881000697612762,0.2882988154888153,-0.2209170013666153,0.2313708662986755,-0.1585835814476013
occurs_in,0.1480165719985962,-0.3289403021335602,0.0617482922971249,-0.2313846051692963,-0.1381212472915649,0.0654400587081909,0.5333017110824585,0.0932205617427826,0.0053654606454074,-0.2083267718553543,0.0944370627403259,0.2972540557384491,-0.0592470839619637,-0.0218016635626554,0.6009829640388489,-0.1794225424528122,-0.5922095775604248,0.3777669072151184,-0.0141090387478471,-0.5971598029136658,0.4612286388874054,-0.6024396419525146,0.3485336601734161,-0.1475309133529663,0.0430789068341255,0.4998368918895721,-0.6555719971656799,0.4268857538700104,0.6052868366241455,0.1569980978965759,-0.3269403278827667,-0.0506592541933060
uses,-0.4377645552158356,0.1688500642776489,-0.3099308609962463,-0.2578133344650269,0.2056069821119308,-0.1842955201864243,-0.1249826103448868,-0.2077810913324356,-0.1896984726190567,0.3194185793399811,-0.1732673048973083,-0.4948883652687073,0.2727195918560028,0.1383525133132935,-0.2318462133407593,0.2295499145984650,-0.6435248851776123,-0.2079670280218124,-0.1172825172543526,0.2112716585397720,0.1771036237478256,-0.6092020869255066,0.0189911518245935,-0.4043427109718323,0.2408574521541595,0.1463336646556854,-0.3883024156093597,-0.2664116322994232,-0.4049369096755981,0.3101929128170013,0.4660290181636810,0.9919202327728271
