,relation
0,associated_with
1,location_of
2,affects
3,isa
4,occurs_in
5,manifestation_of
6,result_of
7,measurement_of
8,carries_out
9,developmental_form_of
10,produces
11,treats
12,disrupts
13,complicates
14,process_of
15,degree_of
16,interacts_with
17,measures
18,issue_in
19,assesses_effect_of
20,evaluation_of
21,analyzes
22,conceptual_part_of
23,method_of
24,uses
25,causes
26,conceptually_related_to
27,part_of
28,co-occurs_with
29,exhibits
30,precedes
31,property_of
32,diagnoses
33,contains
34,performs
35,connected_to
36,indicates
37,consists_of
38,interconnects
39,manages
40,ingredient_of
41,practices
42,prevents
43,surrounds
44,derivative_of
45,adjacent_to
