,relation
0,result_of
1,co-occurs_with
2,interacts_with
3,affects
4,diagnoses
5,disrupts
6,degree_of
7,process_of
8,produces
9,prevents
10,isa
11,causes
12,performs
13,measurement_of
14,location_of
15,evaluation_of
16,measures
17,complicates
18,manifestation_of
19,part_of
20,associated_with
21,precedes
22,assesses_effect_of
23,issue_in
24,occurs_in
25,treats
26,uses
27,consists_of
28,indicates
29,exhibits
30,connected_to
31,conceptual_part_of
32,property_of
33,manages
34,ingredient_of
35,adjacent_to
36,carries_out
37,analyzes
38,method_of
39,contains
40,derivative_of
41,interconnects
42,developmental_form_of
43,surrounds
44,practices
45,conceptually_related_to
