,relation
0,produces
1,isa
2,affects
3,causes
4,result_of
5,complicates
6,part_of
7,interacts_with
8,disrupts
9,associated_with
10,interconnects
11,process_of
12,issue_in
13,performs
14,indicates
15,manifestation_of
16,occurs_in
17,assesses_effect_of
18,evaluation_of
19,measures
20,location_of
21,analyzes
22,degree_of
23,manages
24,measurement_of
25,treats
26,exhibits
27,precedes
28,uses
29,connected_to
30,diagnoses
31,carries_out
32,contains
33,prevents
34,consists_of
35,method_of
36,conceptual_part_of
37,property_of
38,co-occurs_with
39,conceptually_related_to
40,ingredient_of
41,developmental_form_of
42,adjacent_to
43,practices
44,derivative_of
45,surrounds
