,relation
0,result_of
1,causes
2,affects
3,produces
4,manifestation_of
5,isa
6,interacts_with
7,issue_in
8,location_of
9,process_of
10,complicates
11,prevents
12,manages
13,evaluation_of
14,associated_with
15,measures
16,disrupts
17,performs
18,part_of
19,occurs_in
20,ingredient_of
21,precedes
22,uses
23,interconnects
24,diagnoses
25,surrounds
26,degree_of
27,measurement_of
28,consists_of
29,exhibits
30,practices
31,conceptual_part_of
32,contains
33,connected_to
34,treats
35,co-occurs_with
36,assesses_effect_of
37,analyzes
38,carries_out
39,indicates
40,method_of
41,adjacent_to
42,property_of
43,developmental_form_of
44,derivative_of
45,conceptually_related_to
