,relation
0,interacts_with
1,affects
2,measures
3,result_of
4,disrupts
5,occurs_in
6,complicates
7,associated_with
8,process_of
9,performs
10,uses
11,analyzes
12,diagnoses
13,manifestation_of
14,co-occurs_with
15,causes
16,isa
17,manages
18,contains
19,precedes
20,produces
21,evaluation_of
22,issue_in
23,part_of
24,location_of
25,property_of
26,exhibits
27,method_of
28,measurement_of
29,assesses_effect_of
30,degree_of
31,prevents
32,carries_out
33,adjacent_to
34,indicates
35,treats
36,ingredient_of
37,conceptual_part_of
38,connected_to
39,surrounds
40,interconnects
41,developmental_form_of
42,consists_of
43,conceptually_related_to
44,practices
45,derivative_of
