,relation
0,isa
1,causes
2,process_of
3,affects
4,produces
5,part_of
6,contains
7,result_of
8,issue_in
9,complicates
10,interacts_with
11,location_of
12,manifestation_of
13,disrupts
14,precedes
15,associated_with
16,occurs_in
17,evaluation_of
18,property_of
19,performs
20,exhibits
21,method_of
22,co-occurs_with
23,treats
24,measurement_of
25,assesses_effect_of
26,diagnoses
27,degree_of
28,measures
29,manages
30,prevents
31,carries_out
32,consists_of
33,adjacent_to
34,indicates
35,uses
36,ingredient_of
37,conceptual_part_of
38,connected_to
39,surrounds
40,interconnects
41,analyzes
42,developmental_form_of
43,conceptually_related_to
44,practices
45,derivative_of
