,relation
0,accusation
1,aidenemy
2,attackembassy
3,blockpositionindex
4,booktranslations
5,boycottembargo
6,commonbloc0
7,commonbloc1
8,commonbloc2
9,conferences
10,dependent
11,duration
12,economicaid
13,eemigrants
14,embassy
15,emigrants3
16,expeldiplomats
17,exportbooks
18,exports3
19,independence
20,intergovorgs
21,intergovorgs3
22,lostterritory
23,militaryactions
24,militaryalliance
25,negativebehavior
26,negativecomm
27,ngo
28,ngoorgs3
29,nonviolentbehavior
30,officialvisits
31,pprotests
32,relbooktranslations
33,reldiplomacy
34,releconomicaid
35,relemigrants
36,relexportbooks
37,relexports
38,relintergovorgs
39,relngo
40,relstudents
41,reltourism
42,reltreaties
43,severdiplomatic
44,students
45,timesinceally
46,timesincewar
47,tourism
48,tourism3
49,treaties
50,unoffialacts
51,unweightedunvote
52,violentactions
53,warning
54,weightedunvote
