,relation
0,performs
1,produces
2,interacts_with
3,diagnoses
4,measures
5,causes
6,location_of
7,isa
8,affects
9,manifestation_of
10,assesses_effect_of
11,result_of
12,issue_in
13,process_of
14,complicates
15,occurs_in
16,uses
17,indicates
18,evaluation_of
19,conceptually_related_to
20,precedes
21,carries_out
22,exhibits
23,manages
24,part_of
25,contains
26,associated_with
27,conceptual_part_of
28,treats
29,disrupts
30,co-occurs_with
31,derivative_of
32,measurement_of
33,adjacent_to
34,property_of
35,method_of
36,degree_of
37,analyzes
38,consists_of
39,prevents
40,developmental_form_of
41,ingredient_of
42,surrounds
43,interconnects
44,connected_to
45,practices
