,relation
0,process_of
1,causes
2,interacts_with
3,affects
4,result_of
5,complicates
6,precedes
7,property_of
8,location_of
9,produces
10,performs
11,disrupts
12,exhibits
13,method_of
14,isa
15,associated_with
16,part_of
17,co-occurs_with
18,occurs_in
19,practices
20,evaluation_of
21,manifestation_of
22,ingredient_of
23,measurement_of
24,issue_in
25,assesses_effect_of
26,diagnoses
27,degree_of
28,measures
29,manages
30,treats
31,prevents
32,carries_out
33,adjacent_to
34,indicates
35,uses
36,analyzes
37,conceptual_part_of
38,contains
39,connected_to
40,surrounds
41,interconnects
42,consists_of
43,conceptually_related_to
44,developmental_form_of
45,derivative_of
