,relation
0,produces
1,measurement_of
2,affects
3,process_of
4,issue_in
5,assesses_effect_of
6,interacts_with
7,result_of
8,surrounds
9,carries_out
10,complicates
11,precedes
12,connected_to
13,prevents
14,performs
15,co-occurs_with
16,associated_with
17,measures
18,manifestation_of
19,location_of
20,disrupts
21,indicates
22,developmental_form_of
23,isa
24,ingredient_of
25,causes
26,contains
27,degree_of
28,part_of
29,occurs_in
30,uses
31,analyzes
32,manages
33,evaluation_of
34,diagnoses
35,property_of
36,treats
37,method_of
38,conceptual_part_of
39,consists_of
40,exhibits
41,conceptually_related_to
42,derivative_of
43,adjacent_to
44,practices
45,interconnects
