,relation
0,produces
1,manifestation_of
2,isa
3,interacts_with
4,issue_in
5,location_of
6,process_of
7,affects
8,complicates
9,prevents
10,manages
11,evaluation_of
12,associated_with
13,measures
14,consists_of
15,disrupts
16,performs
17,part_of
18,causes
19,result_of
20,occurs_in
21,co-occurs_with
22,precedes
23,uses
24,ingredient_of
25,diagnoses
26,surrounds
27,exhibits
28,practices
29,degree_of
30,measurement_of
31,carries_out
32,connected_to
33,treats
34,assesses_effect_of
35,analyzes
36,contains
37,indicates
38,method_of
39,conceptual_part_of
40,property_of
41,developmental_form_of
42,adjacent_to
43,derivative_of
44,conceptually_related_to
45,interconnects
