,entity
0,person100
1,person37
2,person49
3,person12
4,person10
5,person63
6,person36
7,person68
8,person82
9,person90
10,person17
11,person103
12,person65
13,person9
14,person92
15,person102
16,person0
17,person18
18,person26
19,person89
20,person81
21,person87
22,person21
23,person67
24,person24
25,person11
26,person51
27,person3
28,person96
29,person54
30,person29
31,person62
32,person53
33,person48
34,person41
35,person31
36,person2
37,person79
38,person27
39,person72
40,person76
41,person85
42,person35
43,person83
44,person38
45,person66
46,person64
47,person77
48,person32
49,person93
50,person28
51,person33
52,person40
53,person19
54,person20
55,person101
56,person75
57,person23
58,person95
59,person56
60,person46
61,person39
62,person88
63,person71
64,person69
65,person7
66,person43
67,person25
68,person42
69,person86
70,person60
71,person61
72,person99
73,person50
74,person16
75,person1
76,person55
77,person57
78,person4
79,person8
80,person97
81,person47
82,person6
83,person58
84,person80
85,person13
86,person73
87,person34
88,person22
89,person59
90,person70
91,person30
92,person98
93,person45
94,person44
95,person14
96,person91
97,person15
98,person52
99,person74
100,person94
101,person78
102,person84
103,person5
