,entity
0,organophosphorus_compound
1,therapeutic_or_preventive_procedure
2,quantitative_concept
3,substance
4,cell_function
5,carbohydrate
6,organ_or_tissue_function
7,biologic_function
8,pathologic_function
9,activity
10,cell_component
11,enzyme
12,lipid
13,reptile
14,neuroreactive_substance_or_biogenic_amine
15,experimental_model_of_disease
16,antibiotic
17,professional_or_occupational_group
18,qualitative_concept
19,sign_or_symptom
20,research_activity
21,laboratory_or_test_result
22,tissue
23,body_part_organ_or_organ_component
24,organic_chemical
25,disease_or_syndrome
26,organism_function
27,receptor
28,chemical_viewed_structurally
29,finding
30,embryonic_structure
31,family_group
32,natural_phenomenon_or_process
33,anatomical_abnormality
34,mental_process
35,cell_or_molecular_dysfunction
36,virus
37,clinical_attribute
38,conceptual_entity
39,patient_or_disabled_group
40,molecular_biology_research_technique
41,molecular_function
42,genetic_function
43,fully_formed_anatomical_structure
44,cell
45,immunologic_factor
46,amino_acid_peptide_or_protein
47,chemical_viewed_functionally
48,social_behavior
49,group
50,individual_behavior
51,inorganic_chemical
52,physiologic_function
53,biomedical_or_dental_material
54,rickettsia_or_chlamydia
55,regulation_or_law
56,amphibian
57,congenital_abnormality
58,organism_attribute
59,laboratory_procedure
60,diagnostic_procedure
61,acquired_abnormality
62,pharmacologic_substance
63,medical_device
64,nucleic_acid_nucleoside_or_nucleotide
65,mental_or_behavioral_dysfunction
66,vitamin
67,body_substance
68,occupation_or_discipline
69,food
70,steroid
71,neoplastic_process
72,injury_or_poisoning
73,fungus
74,human
75,hormone
76,hazardous_or_poisonous_substance
77,bacterium
78,invertebrate
79,research_device
80,plant
81,population_group
82,age_group
83,health_care_activity
84,anatomical_structure
85,governmental_or_regulatory_activity
86,organism
87,health_care_related_organization
88,body_system
89,indicator_reagent_or_diagnostic_aid
90,drug_delivery_device
91,mammal
92,biologically_active_substance
93,manufactured_object
94,element_ion_or_isotope
95,phenomenon_or_process
96,geographic_area
97,body_location_or_region
98,clinical_drug
99,body_space_or_junction
100,alga
101,gene_or_genome
102,vertebrate
103,professional_society
104,idea_or_concept
105,organization
106,self_help_or_relief_organization
107,behavior
108,nucleotide_sequence
109,fish
110,group_attribute
111,human_caused_phenomenon_or_process
112,bird
113,spatial_concept
114,classification
115,amino_acid_sequence
116,environmental_effect_of_humans
117,language
118,molecular_sequence
119,educational_activity
120,eicosanoid
121,temporal_concept
122,daily_or_recreational_activity
123,animal
124,occupational_activity
125,functional_concept
126,machine_activity
127,intellectual_product
128,archaeon
129,chemical
130,biomedical_occupation_or_discipline
131,carbohydrate_sequence
132,event
133,physical_object
134,entity
